0.30869,-0.42479,0.85104,0.0092533
0.23498,-0.30548,0.92275,0.0092597
0.2112,-0.044424,0.97643,0.009234
0.14731,-0.088944,0.98508,0.0093499
0.1555,-0.17688,0.97187,0.0092597
0.073663,-0.044517,0.99629,0.0092533
0.23571,-0.47048,0.85035,0.011049
0.15983,-0.4369,0.8852,0.0112
0.079926,-0.48359,0.87164,0.01106
0.16184,-0.35104,0.92227,0.01106
0,-0.44363,0.89621,0.011647
0,-0.35682,0.93417,0.011805
-0.081961,-0.31102,0.94686,0.011647
0.081961,-0.31102,0.94686,0.011647
-0.079926,-0.48359,0.87164,0.01106
-0.15983,-0.4369,0.8852,0.0112
-0.23571,-0.47048,0.85035,0.011049
-0.16184,-0.35104,0.92227,0.01106
0.081915,-0.22172,0.97166,0.01106
0,-0.17828,0.98398,0.0112
-0.081915,-0.22172,0.97166,0.01106
0,-0.089093,0.99602,0.011049
0.23502,-0.54398,0.80551,0.0092533
0.1588,-0.58423,0.7959,0.0093499
0.16019,-0.64536,0.7469,0.009234
0.079478,-0.55708,0.82665,0.0092597
0.080891,-0.6804,0.72836,0.0096359
0,-0.65306,0.75731,0.0097365
-0.080891,-0.6804,0.72836,0.0096359
0,-0.59095,0.80671,0.0096092
0.08086,-0.73503,0.67319,0.0091549
0,-0.76242,0.64708,0.009244
0,-0.80902,0.58778,0.0091232
-0.08086,-0.73503,0.67319,0.0091549
-0.079478,-0.55708,0.82665,0.0092597
-0.1588,-0.58423,0.7959,0.0093499
-0.16019,-0.64536,0.7469,0.009234
-0.23502,-0.54398,0.80551,0.0092533
-0.073663,-0.044517,0.99629,0.0092533
-0.14731,-0.088944,0.98508,0.0093499
-0.1555,-0.17688,0.97187,0.0092597
-0.2112,-0.044424,0.97643,0.009234
-0.2288,-0.22074,0.94812,0.0096092
-0.29432,-0.17685,0.9392,0.0097365
-0.36583,-0.21936,0.90446,0.0096359
-0.28494,-0.088481,0.95445,0.0096359
-0.23498,-0.30548,0.92275,0.0092597
-0.3061,-0.34588,0.88694,0.0093499
-0.30869,-0.42479,0.85104,0.0092533
-0.3714,-0.30362,0.87743,0.009234
-0.34619,-0.044043,0.93713,0.0091549
-0.41685,-0.087938,0.90471,0.009244
-0.42705,-0.17488,0.88715,0.0091549
-0.47287,-0.043891,0.88004,0.0091232
0.47287,0.043891,-0.88004,0.0091232
0.41685,0.087938,-0.90471,0.009244
0.42705,0.17488,-0.88715,0.0091549
0.34619,0.044043,-0.93713,0.0091549
0.36583,0.21936,-0.90446,0.0096359
0.29432,0.17685,-0.9392,0.0097365
0.2288,0.22074,-0.94812,0.0096092
0.28494,0.088481,-0.95445,0.0096359
0.3714,0.30362,-0.87743,0.009234
0.3061,0.34588,-0.88694,0.0093499
0.30869,0.42479,-0.85104,0.0092533
0.23498,0.30548,-0.92275,0.0092597
0.2112,0.044424,-0.97643,0.009234
0.14731,0.088944,-0.98508,0.0093499
0.1555,0.17688,-0.97187,0.0092597
0.073663,0.044517,-0.99629,0.0092533
0.23571,0.47048,-0.85035,0.011049
0.15983,0.4369,-0.8852,0.0112
0.079926,0.48359,-0.87164,0.01106
0.16184,0.35104,-0.92227,0.01106
0,0.44363,-0.89621,0.011647
0,0.35682,-0.93417,0.011805
-0.081961,0.31102,-0.94686,0.011647
0.081961,0.31102,-0.94686,0.011647
-0.079926,0.48359,-0.87164,0.01106
-0.15983,0.4369,-0.8852,0.0112
-0.23571,0.47048,-0.85035,0.011049
-0.16184,0.35104,-0.92227,0.01106
0.081915,0.22172,-0.97166,0.01106
0,0.17828,-0.98398,0.0112
-0.081915,0.22172,-0.97166,0.01106
0,0.089093,-0.99602,0.011049
0.23502,0.54398,-0.80551,0.0092533
0.1588,0.58423,-0.7959,0.0093499
0.16019,0.64536,-0.7469,0.009234
0.079478,0.55708,-0.82665,0.0092597
0.080891,0.6804,-0.72836,0.0096359
0,0.65306,-0.75731,0.0097365
-0.080891,0.6804,-0.72836,0.0096359
0,0.59095,-0.80671,0.0096092
0.08086,0.73503,-0.67319,0.0091549
0,0.76242,-0.64708,0.009244
0,0.80902,-0.58778,0.0091232
-0.08086,0.73503,-0.67319,0.0091549
-0.079478,0.55708,-0.82665,0.0092597
-0.1588,0.58423,-0.7959,0.0093499
-0.16019,0.64536,-0.7469,0.009234
-0.23502,0.54398,-0.80551,0.0092533
-0.073663,0.044517,-0.99629,0.0092533
-0.14731,0.088944,-0.98508,0.0093499
-0.1555,0.17688,-0.97187,0.0092597
-0.2112,0.044424,-0.97643,0.009234
-0.2288,0.22074,-0.94812,0.0096092
-0.29432,0.17685,-0.9392,0.0097365
-0.36583,0.21936,-0.90446,0.0096359
-0.28494,0.088481,-0.95445,0.0096359
-0.23498,0.30548,-0.92275,0.0092597
-0.3061,0.34588,-0.88694,0.0093499
-0.30869,0.42479,-0.85104,0.0092533
-0.3714,0.30362,-0.87743,0.009234
-0.34619,0.044043,-0.93713,0.0091549
-0.41685,0.087938,-0.90471,0.009244
-0.42705,0.17488,-0.88715,0.0091549
-0.47287,0.043891,-0.88004,0.0091232
0.47287,-0.043891,-0.88004,0.0091232
0.41685,-0.087938,-0.90471,0.009244
0.34619,-0.044043,-0.93713,0.0091549
0.42705,-0.17488,-0.88715,0.0091549
0.28494,-0.088481,-0.95445,0.0096359
0.29432,-0.17685,-0.9392,0.0097365
0.2288,-0.22074,-0.94812,0.0096092
0.36583,-0.21936,-0.90446,0.0096359
0.2112,-0.044424,-0.97643,0.009234
0.14731,-0.088944,-0.98508,0.0093499
0.073663,-0.044517,-0.99629,0.0092533
0.1555,-0.17688,-0.97187,0.0092597
0.3714,-0.30362,-0.87743,0.009234
0.3061,-0.34588,-0.88694,0.0093499
0.23498,-0.30548,-0.92275,0.0092597
0.30869,-0.42479,-0.85104,0.0092533
0,-0.089093,-0.99602,0.011049
0,-0.17828,-0.98398,0.0112
-0.081915,-0.22172,-0.97166,0.01106
0.081915,-0.22172,-0.97166,0.01106
-0.081961,-0.31102,-0.94686,0.011647
0,-0.35682,-0.93417,0.011805
0,-0.44363,-0.89621,0.011647
0.081961,-0.31102,-0.94686,0.011647
-0.16184,-0.35104,-0.92227,0.01106
-0.15983,-0.4369,-0.8852,0.0112
-0.23571,-0.47048,-0.85035,0.011049
-0.079926,-0.48359,-0.87164,0.01106
0.16184,-0.35104,-0.92227,0.01106
0.15983,-0.4369,-0.8852,0.0112
0.079926,-0.48359,-0.87164,0.01106
0.23571,-0.47048,-0.85035,0.011049
-0.073663,-0.044517,-0.99629,0.0092533
-0.14731,-0.088944,-0.98508,0.0093499
-0.2112,-0.044424,-0.97643,0.009234
-0.1555,-0.17688,-0.97187,0.0092597
-0.28494,-0.088481,-0.95445,0.0096359
-0.29432,-0.17685,-0.9392,0.0097365
-0.36583,-0.21936,-0.90446,0.0096359
-0.2288,-0.22074,-0.94812,0.0096092
-0.34619,-0.044043,-0.93713,0.0091549
-0.41685,-0.087938,-0.90471,0.009244
-0.47287,-0.043891,-0.88004,0.0091232
-0.42705,-0.17488,-0.88715,0.0091549
-0.23498,-0.30548,-0.92275,0.0092597
-0.3061,-0.34588,-0.88694,0.0093499
-0.3714,-0.30362,-0.87743,0.009234
-0.30869,-0.42479,-0.85104,0.0092533
0.23502,-0.54398,-0.80551,0.0092533
0.1588,-0.58423,-0.7959,0.0093499
0.079478,-0.55708,-0.82665,0.0092597
0.16019,-0.64536,-0.7469,0.009234
0,-0.59095,-0.80671,0.0096092
0,-0.65306,-0.75731,0.0097365
-0.080891,-0.6804,-0.72836,0.0096359
0.080891,-0.6804,-0.72836,0.0096359
-0.079478,-0.55708,-0.82665,0.0092597
-0.1588,-0.58423,-0.7959,0.0093499
-0.23502,-0.54398,-0.80551,0.0092533
-0.16019,-0.64536,-0.7469,0.009234
0.08086,-0.73503,-0.67319,0.0091549
0,-0.76242,-0.64708,0.009244
-0.08086,-0.73503,-0.67319,0.0091549
0,-0.80902,-0.58778,0.0091232
0.88004,0.47287,0.043891,0.0091232
0.90471,0.41685,0.087938,0.009244
0.93713,0.34619,0.044043,0.0091549
0.88715,0.42705,0.17488,0.0091549
0.95445,0.28494,0.088481,0.0096359
0.9392,0.29432,0.17685,0.0097365
0.94812,0.2288,0.22074,0.0096092
0.90446,0.36583,0.21936,0.0096359
0.97643,0.2112,0.044424,0.009234
0.98508,0.14731,0.088944,0.0093499
0.99629,0.073663,0.044517,0.0092533
0.97187,0.1555,0.17688,0.0092597
0.87743,0.3714,0.30362,0.009234
0.88694,0.3061,0.34588,0.0093499
0.92275,0.23498,0.30548,0.0092597
0.85104,0.30869,0.42479,0.0092533
0.99602,0,0.089093,0.011049
0.98398,0,0.17828,0.0112
0.97166,-0.081915,0.22172,0.01106
0.97166,0.081915,0.22172,0.01106
0.94686,-0.081961,0.31102,0.011647
0.93417,0,0.35682,0.011805
0.89621,0,0.44363,0.011647
0.94686,0.081961,0.31102,0.011647
0.92227,-0.16184,0.35104,0.01106
0.8852,-0.15983,0.4369,0.0112
0.85035,-0.23571,0.47048,0.011049
0.87164,-0.079926,0.48359,0.01106
0.92227,0.16184,0.35104,0.01106
0.8852,0.15983,0.4369,0.0112
0.87164,0.079926,0.48359,0.01106
0.85035,0.23571,0.47048,0.011049
0.99629,-0.073663,0.044517,0.0092533
0.98508,-0.14731,0.088944,0.0093499
0.97643,-0.2112,0.044424,0.009234
0.97187,-0.1555,0.17688,0.0092597
0.95445,-0.28494,0.088481,0.0096359
0.9392,-0.29432,0.17685,0.0097365
0.90446,-0.36583,0.21936,0.0096359
0.94812,-0.2288,0.22074,0.0096092
0.93713,-0.34619,0.044043,0.0091549
0.90471,-0.41685,0.087938,0.009244
0.88004,-0.47287,0.043891,0.0091232
0.88715,-0.42705,0.17488,0.0091549
0.92275,-0.23498,0.30548,0.0092597
0.88694,-0.3061,0.34588,0.0093499
0.87743,-0.3714,0.30362,0.009234
0.85104,-0.30869,0.42479,0.0092533
0.80551,0.23502,0.54398,0.0092533
0.7959,0.1588,0.58423,0.0093499
0.82665,0.079478,0.55708,0.0092597
0.7469,0.16019,0.64536,0.009234
0.80671,0,0.59095,0.0096092
0.75731,0,0.65306,0.0097365
0.72836,-0.080891,0.6804,0.0096359
0.72836,0.080891,0.6804,0.0096359
0.82665,-0.079478,0.55708,0.0092597
0.7959,-0.1588,0.58423,0.0093499
0.80551,-0.23502,0.54398,0.0092533
0.7469,-0.16019,0.64536,0.009234
0.67319,0.08086,0.73503,0.0091549
0.64708,0,0.76242,0.009244
0.67319,-0.08086,0.73503,0.0091549
0.58778,0,0.80902,0.0091232
0.88004,0.47287,-0.043891,0.0091232
0.90471,0.41685,-0.087938,0.009244
0.88715,0.42705,-0.17488,0.0091549
0.93713,0.34619,-0.044043,0.0091549
0.90446,0.36583,-0.21936,0.0096359
0.9392,0.29432,-0.17685,0.0097365
0.94812,0.2288,-0.22074,0.0096092
0.95445,0.28494,-0.088481,0.0096359
0.87743,0.3714,-0.30362,0.009234
0.88694,0.3061,-0.34588,0.0093499
0.85104,0.30869,-0.42479,0.0092533
0.92275,0.23498,-0.30548,0.0092597
0.97643,0.2112,-0.044424,0.009234
0.98508,0.14731,-0.088944,0.0093499
0.97187,0.1555,-0.17688,0.0092597
0.99629,0.073663,-0.044517,0.0092533
0.85035,0.23571,-0.47048,0.011049
0.8852,0.15983,-0.4369,0.0112
0.87164,0.079926,-0.48359,0.01106
0.92227,0.16184,-0.35104,0.01106
0.89621,0,-0.44363,0.011647
0.93417,0,-0.35682,0.011805
0.94686,-0.081961,-0.31102,0.011647
0.94686,0.081961,-0.31102,0.011647
0.87164,-0.079926,-0.48359,0.01106
0.8852,-0.15983,-0.4369,0.0112
0.85035,-0.23571,-0.47048,0.011049
0.92227,-0.16184,-0.35104,0.01106
0.97166,0.081915,-0.22172,0.01106
0.98398,0,-0.17828,0.0112
0.97166,-0.081915,-0.22172,0.01106
0.99602,0,-0.089093,0.011049
0.80551,0.23502,-0.54398,0.0092533
0.7959,0.1588,-0.58423,0.0093499
0.7469,0.16019,-0.64536,0.009234
0.82665,0.079478,-0.55708,0.0092597
0.72836,0.080891,-0.6804,0.0096359
0.75731,0,-0.65306,0.0097365
0.72836,-0.080891,-0.6804,0.0096359
0.80671,0,-0.59095,0.0096092
0.67319,0.08086,-0.73503,0.0091549
0.64708,0,-0.76242,0.009244
0.58778,0,-0.80902,0.0091232
0.67319,-0.08086,-0.73503,0.0091549
0.82665,-0.079478,-0.55708,0.0092597
0.7959,-0.1588,-0.58423,0.0093499
0.7469,-0.16019,-0.64536,0.009234
0.80551,-0.23502,-0.54398,0.0092533
0.99629,-0.073663,-0.044517,0.0092533
0.98508,-0.14731,-0.088944,0.0093499
0.97187,-0.1555,-0.17688,0.0092597
0.97643,-0.2112,-0.044424,0.009234
0.94812,-0.2288,-0.22074,0.0096092
0.9392,-0.29432,-0.17685,0.0097365
0.90446,-0.36583,-0.21936,0.0096359
0.95445,-0.28494,-0.088481,0.0096359
0.92275,-0.23498,-0.30548,0.0092597
0.88694,-0.3061,-0.34588,0.0093499
0.85104,-0.30869,-0.42479,0.0092533
0.87743,-0.3714,-0.30362,0.009234
0.93713,-0.34619,-0.044043,0.0091549
0.90471,-0.41685,-0.087938,0.009244
0.88715,-0.42705,-0.17488,0.0091549
0.88004,-0.47287,-0.043891,0.0091232
-0.88004,-0.47287,0.043891,0.0091232
-0.90471,-0.41685,0.087938,0.009244
-0.93713,-0.34619,0.044043,0.0091549
-0.88715,-0.42705,0.17488,0.0091549
-0.95445,-0.28494,0.088481,0.0096359
-0.9392,-0.29432,0.17685,0.0097365
-0.94812,-0.2288,0.22074,0.0096092
-0.90446,-0.36583,0.21936,0.0096359
-0.97643,-0.2112,0.044424,0.009234
-0.98508,-0.14731,0.088944,0.0093499
-0.99629,-0.073663,0.044517,0.0092533
-0.97187,-0.1555,0.17688,0.0092597
-0.87743,-0.3714,0.30362,0.009234
-0.88694,-0.3061,0.34588,0.0093499
-0.92275,-0.23498,0.30548,0.0092597
-0.85104,-0.30869,0.42479,0.0092533
-0.99602,0,0.089093,0.011049
-0.98398,0,0.17828,0.0112
-0.97166,0.081915,0.22172,0.01106
-0.97166,-0.081915,0.22172,0.01106
-0.94686,0.081961,0.31102,0.011647
-0.93417,0,0.35682,0.011805
-0.89621,0,0.44363,0.011647
-0.94686,-0.081961,0.31102,0.011647
-0.92227,0.16184,0.35104,0.01106
-0.8852,0.15983,0.4369,0.0112
-0.85035,0.23571,0.47048,0.011049
-0.87164,0.079926,0.48359,0.01106
-0.92227,-0.16184,0.35104,0.01106
-0.8852,-0.15983,0.4369,0.0112
-0.87164,-0.079926,0.48359,0.01106
-0.85035,-0.23571,0.47048,0.011049
-0.99629,0.073663,0.044517,0.0092533
-0.98508,0.14731,0.088944,0.0093499
-0.97643,0.2112,0.044424,0.009234
-0.97187,0.1555,0.17688,0.0092597
-0.95445,0.28494,0.088481,0.0096359
-0.9392,0.29432,0.17685,0.0097365
-0.90446,0.36583,0.21936,0.0096359
-0.94812,0.2288,0.22074,0.0096092
-0.93713,0.34619,0.044043,0.0091549
-0.90471,0.41685,0.087938,0.009244
-0.88004,0.47287,0.043891,0.0091232
-0.88715,0.42705,0.17488,0.0091549
-0.92275,0.23498,0.30548,0.0092597
-0.88694,0.3061,0.34588,0.0093499
-0.87743,0.3714,0.30362,0.009234
-0.85104,0.30869,0.42479,0.0092533
-0.80551,-0.23502,0.54398,0.0092533
-0.7959,-0.1588,0.58423,0.0093499
-0.82665,-0.079478,0.55708,0.0092597
-0.7469,-0.16019,0.64536,0.009234
-0.80671,0,0.59095,0.0096092
-0.75731,0,0.65306,0.0097365
-0.72836,0.080891,0.6804,0.0096359
-0.72836,-0.080891,0.6804,0.0096359
-0.82665,0.079478,0.55708,0.0092597
-0.7959,0.1588,0.58423,0.0093499
-0.80551,0.23502,0.54398,0.0092533
-0.7469,0.16019,0.64536,0.009234
-0.67319,-0.08086,0.73503,0.0091549
-0.64708,0,0.76242,0.009244
-0.67319,0.08086,0.73503,0.0091549
-0.58778,0,0.80902,0.0091232
-0.88004,-0.47287,-0.043891,0.0091232
-0.90471,-0.41685,-0.087938,0.009244
-0.88715,-0.42705,-0.17488,0.0091549
-0.93713,-0.34619,-0.044043,0.0091549
-0.90446,-0.36583,-0.21936,0.0096359
-0.9392,-0.29432,-0.17685,0.0097365
-0.94812,-0.2288,-0.22074,0.0096092
-0.95445,-0.28494,-0.088481,0.0096359
-0.87743,-0.3714,-0.30362,0.009234
-0.88694,-0.3061,-0.34588,0.0093499
-0.85104,-0.30869,-0.42479,0.0092533
-0.92275,-0.23498,-0.30548,0.0092597
-0.97643,-0.2112,-0.044424,0.009234
-0.98508,-0.14731,-0.088944,0.0093499
-0.97187,-0.1555,-0.17688,0.0092597
-0.99629,-0.073663,-0.044517,0.0092533
-0.85035,-0.23571,-0.47048,0.011049
-0.8852,-0.15983,-0.4369,0.0112
-0.87164,-0.079926,-0.48359,0.01106
-0.92227,-0.16184,-0.35104,0.01106
-0.89621,0,-0.44363,0.011647
-0.93417,0,-0.35682,0.011805
-0.94686,0.081961,-0.31102,0.011647
-0.94686,-0.081961,-0.31102,0.011647
-0.87164,0.079926,-0.48359,0.01106
-0.8852,0.15983,-0.4369,0.0112
-0.85035,0.23571,-0.47048,0.011049
-0.92227,0.16184,-0.35104,0.01106
-0.97166,-0.081915,-0.22172,0.01106
-0.98398,0,-0.17828,0.0112
-0.97166,0.081915,-0.22172,0.01106
-0.99602,0,-0.089093,0.011049
-0.80551,-0.23502,-0.54398,0.0092533
-0.7959,-0.1588,-0.58423,0.0093499
-0.7469,-0.16019,-0.64536,0.009234
-0.82665,-0.079478,-0.55708,0.0092597
-0.72836,-0.080891,-0.6804,0.0096359
-0.75731,0,-0.65306,0.0097365
-0.72836,0.080891,-0.6804,0.0096359
-0.80671,0,-0.59095,0.0096092
-0.67319,-0.08086,-0.73503,0.0091549
-0.64708,0,-0.76242,0.009244
-0.58778,0,-0.80902,0.0091232
-0.67319,0.08086,-0.73503,0.0091549
-0.82665,0.079478,-0.55708,0.0092597
-0.7959,0.1588,-0.58423,0.0093499
-0.7469,0.16019,-0.64536,0.009234
-0.80551,0.23502,-0.54398,0.0092533
-0.99629,0.073663,-0.044517,0.0092533
-0.98508,0.14731,-0.088944,0.0093499
-0.97187,0.1555,-0.17688,0.0092597
-0.97643,0.2112,-0.044424,0.009234
-0.94812,0.2288,-0.22074,0.0096092
-0.9392,0.29432,-0.17685,0.0097365
-0.90446,0.36583,-0.21936,0.0096359
-0.95445,0.28494,-0.088481,0.0096359
-0.92275,0.23498,-0.30548,0.0092597
-0.88694,0.3061,-0.34588,0.0093499
-0.85104,0.30869,-0.42479,0.0092533
-0.87743,0.3714,-0.30362,0.009234
-0.93713,0.34619,-0.044043,0.0091549
-0.90471,0.41685,-0.087938,0.009244
-0.88715,0.42705,-0.17488,0.0091549
-0.88004,0.47287,-0.043891,0.0091232
0.043891,0.88004,0.47287,0.0091232
0.087938,0.90471,0.41685,0.009244
0.044043,0.93713,0.34619,0.0091549
0.17488,0.88715,0.42705,0.0091549
0.088481,0.95445,0.28494,0.0096359
0.17685,0.9392,0.29432,0.0097365
0.22074,0.94812,0.2288,0.0096092
0.21936,0.90446,0.36583,0.0096359
0.044424,0.97643,0.2112,0.009234
0.088944,0.98508,0.14731,0.0093499
0.044517,0.99629,0.073663,0.0092533
0.17688,0.97187,0.1555,0.0092597
0.30362,0.87743,0.3714,0.009234
0.34588,0.88694,0.3061,0.0093499
0.30548,0.92275,0.23498,0.0092597
0.42479,0.85104,0.30869,0.0092533
0.089093,0.99602,0,0.011049
0.17828,0.98398,0,0.0112
0.22172,0.97166,-0.081915,0.01106
0.22172,0.97166,0.081915,0.01106
0.31102,0.94686,-0.081961,0.011647
0.35682,0.93417,0,0.011805
0.44363,0.89621,0,0.011647
0.31102,0.94686,0.081961,0.011647
0.35104,0.92227,-0.16184,0.01106
0.4369,0.8852,-0.15983,0.0112
0.47048,0.85035,-0.23571,0.011049
0.48359,0.87164,-0.079926,0.01106
0.35104,0.92227,0.16184,0.01106
0.4369,0.8852,0.15983,0.0112
0.48359,0.87164,0.079926,0.01106
0.47048,0.85035,0.23571,0.011049
0.044517,0.99629,-0.073663,0.0092533
0.088944,0.98508,-0.14731,0.0093499
0.044424,0.97643,-0.2112,0.009234
0.17688,0.97187,-0.1555,0.0092597
0.088481,0.95445,-0.28494,0.0096359
0.17685,0.9392,-0.29432,0.0097365
0.21936,0.90446,-0.36583,0.0096359
0.22074,0.94812,-0.2288,0.0096092
0.044043,0.93713,-0.34619,0.0091549
0.087938,0.90471,-0.41685,0.009244
0.043891,0.88004,-0.47287,0.0091232
0.17488,0.88715,-0.42705,0.0091549
0.30548,0.92275,-0.23498,0.0092597
0.34588,0.88694,-0.3061,0.0093499
0.30362,0.87743,-0.3714,0.009234
0.42479,0.85104,-0.30869,0.0092533
0.54398,0.80551,0.23502,0.0092533
0.58423,0.7959,0.1588,0.0093499
0.55708,0.82665,0.079478,0.0092597
0.64536,0.7469,0.16019,0.009234
0.59095,0.80671,0,0.0096092
0.65306,0.75731,0,0.0097365
0.6804,0.72836,-0.080891,0.0096359
0.6804,0.72836,0.080891,0.0096359
0.55708,0.82665,-0.079478,0.0092597
0.58423,0.7959,-0.1588,0.0093499
0.54398,0.80551,-0.23502,0.0092533
0.64536,0.7469,-0.16019,0.009234
0.73503,0.67319,0.08086,0.0091549
0.76242,0.64708,0,0.009244
0.73503,0.67319,-0.08086,0.0091549
0.80902,0.58778,0,0.0091232
-0.043891,0.88004,0.47287,0.0091232
-0.087938,0.90471,0.41685,0.009244
-0.17488,0.88715,0.42705,0.0091549
-0.044043,0.93713,0.34619,0.0091549
-0.21936,0.90446,0.36583,0.0096359
-0.17685,0.9392,0.29432,0.0097365
-0.22074,0.94812,0.2288,0.0096092
-0.088481,0.95445,0.28494,0.0096359
-0.30362,0.87743,0.3714,0.009234
-0.34588,0.88694,0.3061,0.0093499
-0.42479,0.85104,0.30869,0.0092533
-0.30548,0.92275,0.23498,0.0092597
-0.044424,0.97643,0.2112,0.009234
-0.088944,0.98508,0.14731,0.0093499
-0.17688,0.97187,0.1555,0.0092597
-0.044517,0.99629,0.073663,0.0092533
-0.47048,0.85035,0.23571,0.011049
-0.4369,0.8852,0.15983,0.0112
-0.48359,0.87164,0.079926,0.01106
-0.35104,0.92227,0.16184,0.01106
-0.44363,0.89621,0,0.011647
-0.35682,0.93417,0,0.011805
-0.31102,0.94686,-0.081961,0.011647
-0.31102,0.94686,0.081961,0.011647
-0.48359,0.87164,-0.079926,0.01106
-0.4369,0.8852,-0.15983,0.0112
-0.47048,0.85035,-0.23571,0.011049
-0.35104,0.92227,-0.16184,0.01106
-0.22172,0.97166,0.081915,0.01106
-0.17828,0.98398,0,0.0112
-0.22172,0.97166,-0.081915,0.01106
-0.089093,0.99602,0,0.011049
-0.54398,0.80551,0.23502,0.0092533
-0.58423,0.7959,0.1588,0.0093499
-0.64536,0.7469,0.16019,0.009234
-0.55708,0.82665,0.079478,0.0092597
-0.6804,0.72836,0.080891,0.0096359
-0.65306,0.75731,0,0.0097365
-0.6804,0.72836,-0.080891,0.0096359
-0.59095,0.80671,0,0.0096092
-0.73503,0.67319,0.08086,0.0091549
-0.76242,0.64708,0,0.009244
-0.80902,0.58778,0,0.0091232
-0.73503,0.67319,-0.08086,0.0091549
-0.55708,0.82665,-0.079478,0.0092597
-0.58423,0.7959,-0.1588,0.0093499
-0.64536,0.7469,-0.16019,0.009234
-0.54398,0.80551,-0.23502,0.0092533
-0.044517,0.99629,-0.073663,0.0092533
-0.088944,0.98508,-0.14731,0.0093499
-0.17688,0.97187,-0.1555,0.0092597
-0.044424,0.97643,-0.2112,0.009234
-0.22074,0.94812,-0.2288,0.0096092
-0.17685,0.9392,-0.29432,0.0097365
-0.21936,0.90446,-0.36583,0.0096359
-0.088481,0.95445,-0.28494,0.0096359
-0.30548,0.92275,-0.23498,0.0092597
-0.34588,0.88694,-0.3061,0.0093499
-0.42479,0.85104,-0.30869,0.0092533
-0.30362,0.87743,-0.3714,0.009234
-0.044043,0.93713,-0.34619,0.0091549
-0.087938,0.90471,-0.41685,0.009244
-0.17488,0.88715,-0.42705,0.0091549
-0.043891,0.88004,-0.47287,0.0091232
0.043891,-0.88004,0.47287,0.0091232
0.087938,-0.90471,0.41685,0.009244
0.17488,-0.88715,0.42705,0.0091549
0.044043,-0.93713,0.34619,0.0091549
0.21936,-0.90446,0.36583,0.0096359
0.17685,-0.9392,0.29432,0.0097365
0.22074,-0.94812,0.2288,0.0096092
0.088481,-0.95445,0.28494,0.0096359
